NOME_ARQ,EARM_SE,EARM_S,EARM_NE,EARM_N,EARM_SIN,GT_SE,GT_S,GT_NE,GT_N,GT_SIN,GH_SE,GH_S,GH_NE,GH_N,GH_SIN,CMO_SE,CMO_S,CMO_NE,CMO_N,DEF_SE,DEF_S,DEF_NE,DEF_N
INI,20.4,30.6,37.6,15.0,23.86490425797655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relato_2020_01_rv0,20.7,30.8,37.6,16.5,24.16759844872118,5836.4,1177.0,2003.1,2790.4,11806.9,38154.4,3182.4,2666.2,4475.6,48478.6,498.1,498.1,498.1,498.1,0.0,0.0,0.0,0.0
relato_2020_01_rv1,20.2,30.3,37.7,17.3,23.84194060348965,6865.1,1176.5,2092.2,2692.6,12826.4,43303.700000000004,2962.7,2641.7,4782.9,53691.0,622.44,622.44,622.44,622.44,0.0,0.0,0.0,0.0
relato_2020_01_rv2,21.4,30.6,38.2,18.8,24.871971118478623,5123.1,1177.0,1922.3,2817.3,11039.7,43105.8,2683.0,2450.4,7813.3,56052.50000000001,476.9,477.77,476.9,476.9,0.0,0.0,0.0,0.0
relato_2020_01_rv3,21.9,31.1,39.3,21.1,25.572448926649606,6533.8,1178.0,2194.1,2791.3,12697.2,40395.7,3464.0,2588.4,9950.9,56399.0,617.9,617.9,617.9,617.9,0.0,0.0,0.0,0.0
relato_2020_01_rv4,23.9,31.0,41.0,21.1,27.271141946410303,5895.0,1170.8,2074.9,2680.9,11821.6,39241.299999999996,2490.5,2381.7,11850.2,55963.7,566.94,569.76,566.94,566.94,0.0,0.0,0.0,0.0
relato_2020_02_rv0,25.8,30.9,44.5,23.6,29.352279598687502,5165.2,1178.0,1922.6,2772.2,11038.0,40273.1,3747.0,2808.8,11248.1,58077.0,343.49,343.49,343.25,342.79,0.0,0.0,0.0,0.0
relato_2020_02_rv1,29.1,30.4,49.6,25.8,32.65469397085896,4097.6,1128.2,1812.4,2791.3,9829.5,40645.5,2705.0,3584.2,12679.2,59613.899999999994,250.28,252.19,249.54,246.03,0.0,0.0,0.0,0.0
relato_2020_02_rv2,32.6,29.9,54.5,29.8,36.15536242396325,4208.4,1128.2,2053.5,2702.6,10092.699999999999,39151.9,2663.2,3453.7,14128.0,59396.799999999996,249.97,323.1,248.38,223.51,0.0,0.0,0.0,0.0
relato_2020_02_rv3,36.3,29.4,58.7,37.1,39.84329785094648,4385.7,1160.9,1033.1,668.1,7247.800000000001,36570.5,2224.4,2483.1,16049.0,57327.0,239.89,427.48,115.9,48.18,0.0,0.0,0.0,0.0
relato_2020_03_rv0,40.4,31.3,62.8,41.7,43.81861147815756,3116.0,685.0,807.7,1329.6,5938.299999999999,40694.7,3123.4,2503.2,16878.6,63199.899999999994,82.72,96.68,82.72,81.7,0.0,0.0,0.0,0.0
relato_2020_03_rv1,43.7,30.5,65.9,47.9,46.953100056787164,3411.6,736.0,1215.9,795.5,6159.0,38216.0,2858.6,3067.4,18156.5,62298.5,151.03,159.57,127.53,59.61,0.0,0.0,0.0,0.0
relato_2020_03_rv2,45.8,29.2,70.9,57.1,49.7031924906191,4080.3,1327.3,847.8,657.4,6912.8,37158.200000000004,2393.8,3446.2,18308.8,61307.0,170.14,454.72,126.34,0.0,0.0,0.0,0.0,0.0
relato_2020_03_rv3,47.5,28.6,72.7,68.7,51.777026497469315,4336.6,1260.3,820.1,667.8,7084.800000000001,36000.5,1952.3,2816.6,17873.1,58642.5,168.03,437.38,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_04_rv0,49.4,28.0,77.5,69.3,53.917291782090615,3560.7,632.0,2029.3,657.6,6879.6,31697.100000000002,1505.0,3067.1,13238.6,49507.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_04_rv1,50.8,27.4,81.2,70.4,55.574240131424816,3457.9,620.0,1027.4,658.5,5763.8,31622.4,1413.6,3877.5,12292.5,49206.0,3.41,3.41,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_04_rv2,51.9,27.1,83.7,71.4,56.822226104142025,4364.5,413.1,565.0,658.5,6001.1,31523.399999999998,1152.9,3946.5,12983.9,49606.700000000004,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_04_rv3,53.0,26.6,82.8,72.5,57.45692454099169,3573.5,365.6,365.0,656.7,4960.8,28928.2,1231.1,4297.3,12831.4,47288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_05_rv0,53.9,25.9,84.4,74.1,58.4479906159559,4236.5,399.1,610.2,656.0,5901.8,28395.7,1299.9,3978.1,11393.3,45067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
