NOME_ARQ,EARM_SE,EARM_S,EARM_NE,EARM_N,EARM_SIN,GT_SE,GT_S,GT_NE,GT_N,GT_SIN,GH_SE,GH_S,GH_NE,GH_N,GH_SIN,CMO_SE,CMO_S,CMO_NE,CMO_N,DEF_SE,DEF_S,DEF_NE,DEF_N
INI,20.4,30.6,37.6,15.0,23.86490425797655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relato_2020_01_rv0,20.7,29.9,37.6,15.8,24.06947868881411,5083.8,1176.0,1938.1,2790.4,10988.3,37823.9,4199.2,2647.0,4950.4,49620.5,284.12,284.12,284.12,284.12,0.0,0.0,0.0,0.0
relato_2020_01_rv1,20.3,27.8,37.5,16.5,23.663948813433876,5243.5,1176.5,1993.3,2692.6,11105.9,43694.200000000004,4578.1,2754.5,4888.6,55915.4,349.65,349.65,349.65,349.65,0.0,0.0,0.0,0.0
relato_2020_01_rv2,21.5,26.9,38.0,18.0,24.6119395348981,4297.1,1176.0,1773.8,2817.3,10064.2,43614.5,3949.3,2540.4,7723.8,57828.00000000001,264.56,264.56,264.56,264.56,0.0,0.0,0.0,0.0
relato_2020_01_rv3,22.0,25.9,38.8,20.4,25.16190000388266,4809.6,1178.0,2010.2,2791.3,10789.1,40672.4,4892.1,3250.8,9908.2,58723.5,346.36,346.36,346.36,346.36,0.0,0.0,0.0,0.0
relato_2020_01_rv4,24.1,24.3,40.3,20.5,26.798011904316045,4841.2,1170.8,1880.8,2680.9,10573.7,38472.6,3976.6,2951.5,11808.8,57209.5,314.04,314.04,314.04,314.04,0.0,0.0,0.0,0.0
relato_2020_02_rv0,25.7,24.2,43.9,23.0,28.686235022542462,3892.6,829.0,1752.3,2597.0,9070.900000000001,42423.200000000004,3726.3,2673.4,11240.3,60063.20000000001,196.45,196.45,196.45,196.43,0.0,0.0,0.0,0.0
relato_2020_02_rv1,28.9,23.3,49.0,25.2,31.891050600645247,3827.6,693.0,1309.1,2559.7,8389.400000000001,41813.299999999996,3045.2,3564.4,12631.0,61053.899999999994,152.34,153.07,152.34,150.11,0.0,0.0,0.0,0.0
relato_2020_02_rv2,32.3,22.6,53.8,29.1,35.28487907169413,3938.4,725.5,1636.4,2509.8,8810.099999999999,40262.4,2889.8,3416.6,14110.6,60679.4,154.41,169.4,154.41,150.45,0.0,0.0,0.0,0.0
relato_2020_02_rv3,35.9,22.1,58.0,36.3,38.89739470015865,4115.7,849.4,810.1,667.9,6443.099999999999,37167.7,2282.8,2633.2,16049.3,58133.0,148.45,191.84,114.9,48.84,0.0,0.0,0.0,0.0
relato_2020_03_rv0,40.0,24.0,62.1,40.9,42.872716000918494,3116.0,685.0,807.7,658.5,5267.2,41337.7,3070.9,2516.4,16880.3,63805.3,58.31,67.89,58.31,57.76,0.0,0.0,0.0,0.0
